Model,Scenario,Region,Variable,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy,EJ/yr,,,,,,,,,,,,,121.4168685,,,,,141.3044579,157.3624642,,,,,,113.8010163,,102.3071154,,95.99360975,,92.60930431,,90.72665955,,89.89489003,,88.08759816,,86.45789509
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Electricity,EJ/yr,,,,,,,,,,,,,20.34653821,,,,,27.45410945,32.09984704,,,,,,42.02954226,,53.36246025,,56.68924792,,54.82894147,,52.07146212,,49.4204626,,48.0510905,,46.93554674
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Gases,EJ/yr,,,,,,,,,,,,,6.900627828,,,,,9.327090154,14.18323136,,,,,,10.35655694,,7.72491119,,9.226142229,,12.39173256,,12.00764605,,9.741162569,,9.953477614,,9.993292915
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Geothermal,EJ/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Heat,EJ/yr,,,,,,,,,,,,,2.797033421,,,,,3.633802743,5.563887653,,,,,,3.149970542,,2.037011563,,2.064052018,,1.603326345,,1.561968487,,1.512842325,,1.467962684,,1.426962488
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Hydrogen,EJ/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,1.78148917,,5.677314674,,9.209370674,,12.03527328,,14.73668721,,14.6522603,,14.45967891
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,61.26665829,,,,,70.55304878,79.7822665,,,,,,65.6616123,,55.59404171,,52.23459339,,49.99634253,,49.3827101,,49.25529648,,48.05164381,,46.9665041
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Electricity,EJ/yr,,,,,,,,,,,,,12.07208024,,,,,15.970046,18.34926611,,,,,,17.14273305,,19.89007638,,22.93272077,,22.42644996,,20.71529903,,18.73051811,,17.86807352,,17.25804129
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Gases,EJ/yr,,,,,,,,,,,,,4.254723268,,,,,5.392802164,6.932671462,,,,,,6.114260947,,6.566771092,,9.123374193,,12.1758123,,11.79866441,,9.741162569,,9.953477614,,9.974208241
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Heat,EJ/yr,,,,,,,,,,,,,1.884265834,,,,,2.495491164,3.204071177,,,,,,2.226236522,,1.209116606,,0.641433203,,0.213768964,,0.214346646,,0.213961185,,0.213763993,,0.161292471
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Hydrogen,EJ/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0.550316705,,1.870366055,,5.259064601,,8.116581865,,10.49144657,,10.39033387,,10.20961272
